Species,Length1,Length2,Length3,Height,Width,Weight
Hirundichthys,9.3,9.8,10.8,1.7388,1.0476,6.7
Fodiater,34.8,37.3,39.8,6.2884,4.0198,300.0
Parexocoetus,19.0,20.7,23.2,9.396,3.4104,170.0
Cheilopogon,34.6,37.0,39.3,10.5717,6.3666,690.0
Exocoetus,21.1,22.5,25.0,6.4,3.8,160.0
Cheilopogon,34.0,36.0,38.3,10.6091,6.7408,700.0
Hirundichthys,12.1,13.0,13.8,2.277,1.2558,12.2
Prognichthys,28.5,31.0,34.0,10.744,6.562,540.0
Cheilopogon,32.5,35.0,37.3,11.4884,7.7957,840.0
Hirundichthys,11.7,12.4,13.5,2.43,1.269,13.4
Prognichthys,25.6,28.0,30.8,8.778,4.6816,306.0
Cypselurus,31.8,35.0,40.6,15.4686,6.1306,680.0
Cypselurus,31.9,35.0,40.5,16.2405,5.589,700.0
Cheilopogon,17.8,19.6,20.8,5.1376,3.0368,85.0
Cheilopogon,25.4,27.5,28.9,7.0516,4.335,265.0
Hirundichthys,11.5,12.2,13.4,2.0904,1.3936,12.2
Fodiater,40.0,42.5,45.5,6.825,4.459,510.0
Cheilopogon,23.0,25.0,26.5,6.4395,3.6835,180.0
Exocoetus,12.9,14.1,16.2,4.1472,2.268,40.0
Cheilopogon,20.0,22.0,23.5,5.64,3.525,120.0
Fodiater,35.5,38.0,40.5,7.29,4.5765,430.0
Cypselurus,33.5,37.0,42.6,18.957,6.603,1000.0
Cheilopogon,21.5,23.5,25.0,6.275,3.725,170.0
Cypselurus,23.2,25.4,30.0,11.52,4.02,242.0
Cheilopogon,25.2,27.3,28.7,8.323,5.1373,300.0
Cypselurus,28.7,31.0,36.2,14.3714,4.8146,500.0
Prognichthys,24.1,26.5,29.3,8.1454,4.2485,270.0
Cheilopogon,32.0,34.5,36.5,10.2565,6.3875,556.0
Exocoetus,25.0,27.0,30.6,8.568,4.7736,272.0
Cheilopogon,36.5,39.0,41.4,11.1366,7.4934,900.0
Hirundichthys,10.4,11.0,12.0,2.196,1.38,9.7
Cheilopogon,15.7,17.4,18.5,4.588,2.9415,70.0
Prognichthys,37.3,40.0,43.5,12.354,6.525,1000.0
Hirundichthys,10.7,11.2,12.4,2.0832,1.2772,9.8
Exocoetus,18.6,20.0,22.2,6.216,3.5742,120.0
Cheilopogon,20.0,22.0,23.5,5.875,3.525,135.0
Cypselurus,31.8,35.0,40.9,16.36,6.0532,725.0
Cypselurus,29.4,32.0,37.2,15.438,5.58,600.0
Cheilopogon,17.2,19.0,20.2,5.6358,3.0502,80.0
Cheilopogon,25.9,28.0,29.4,7.8204,4.2042,250.0
